41157	0.141431	-4.153056	2.854971	0.41367	1.082093	1.882361	1.450223	2.130209	0.548923	0.583043	4.874911	3.711365	-2.0046	-6.075231	3.479848	1.558999	3.020117	-4.173464	-4.805101	4.924163	-10.098582	-2.837709	-1.428588	-1.577954	2.82094	4.794188	-2.596908	-2.843283	-3.326969	-1.973486	-1.200429	5.905947	4.295961	2.513085	-1.989139	3.445166	-4.557668	-4.444762	3.82658	-1.733446	-4.55187	-6.645621	-3.97046	-2.041915	0.811989	0.979641	0.063161	3.652624	-2.387639	0.929521
AAK1	3.528478	-0.949701	1.039986	-1.618816	-1.228012	-0.171763	-2.82202	0.047464	-0.456019	1.134087	-3.171113	3.363893	-1.076651	1.018805	-1.498384	2.969517	-1.197486	-1.835292	1.904753	3.158255	0.872151	-0.535939	4.958637	0.088482	-2.932227	3.005102	7.16849	0.891717	-0.152863	-2.996909	-0.525761	3.129065	-3.197617	-2.344588	0.862066	2.677934	-0.344906	-6.723335	-1.75879	1.383958	2.808942	-0.035529	0.473384	-1.971053	1.759803	3.151289	-5.189503	-0.233187	0.349614	0.704183
ABCA17P	-2.597842	3.97071	-2.809212	0.474679	-2.714377	-0.474146	-6.738092	-2.811364	-1.017466	-1.646993	1.730756	-0.083885	3.612978	1.819483	-1.792963	4.286982	-3.340882	-1.143523	3.361235	-2.958814	-1.320683	-1.924446	1.649662	3.214569	-0.485566	-5.359474	0.750362	-7.011463	1.535146	-0.166412	-1.398121	5.434619	4.944105	-2.265596	-6.919055	2.743026	-1.082402	-1.196893	-2.78166	4.762601	-2.324379	-0.999586	0.987566	2.591347	-1.445705	-2.788339	2.295727	0.953828	-1.094031	-2.104951
ABCB8	0.352052	-1.866545	-0.007765	3.289632	2.675149	3.819294	0.668285	2.60831	3.342104	-2.792534	3.997291	0.204759	0.395619	6.473653	-0.466005	-3.671822	4.43245	-2.521237	-0.871347	-1.243818	1.237017	1.094311	-1.155555	-7.316392	0.585238	-0.4926	-4.730758	2.89861	2.641493	-0.110675	4.023903	-1.559797	-2.297585	-0.432679	-0.85391	-0.977097	-2.46125	-4.504289	-0.503806	-5.363423	-3.666569	-0.074404	4.630231	0.883074	-1.573444	4.909868	0.866853	2.374492	1.410069	-3.828003
ABCC1	-4.638927	2.440799	-1.65558	0.506424	3.289914	2.460479	-1.003678	1.537393	-1.342323	-1.003316	0.014564	-2.817038	1.064747	1.492662	-2.833234	-2.063735	-0.524004	-2.542374	-2.409129	-4.943677	1.517393	-3.56232	1.561348	0.352359	3.477984	-3.455947	-1.276188	-2.67338	-2.389801	-1.413658	3.102263	-0.717018	-0.438994	-3.270657	1.643509	0.153065	-0.769484	-1.491307	-2.725973	0.5587	-0.375289	-3.214583	5.531917	-1.693335	1.506472	1.02098	4.933972	2.268159	-0.734398	-2.618825
miR1	3.822458	0.241117	-0.62973	-6.448074	-2.221022	0.559189	-0.817507	0.404023	-2.105254	6.397036	-3.550929	-1.087938	-6.082899	2.601416	2.727453	4.091149	-2.459208	-0.903415	3.853521	-2.238781	-0.302161	-2.075643	3.897698	-3.396018	1.108974	-3.080107	0.727783	0.710694	2.623808	-0.56776	-5.205887	1.651282	-2.619358	1.283098	2.284387	-0.197842	5.186158	5.344497	-6.894593	-1.553925	0.416917	-1.061398	4.5592	-1.014232	0.372768	1.563113	2.331843	7.556858	1.705383	-1.658708
miR2	0.562681	0.348409	-1.800319	-3.869393	6.949607	-0.700023	0.613762	-0.194774	0.477825	1.010311	-2.262279	-1.357133	2.153969	-0.030089	2.72013	1.745518	2.384921	2.968086	1.450316	1.685399	0.77733	-2.83962	1.781409	3.63831	4.179982	0.099807	-1.581483	2.833512	1.421227	0.384892	-1.247365	1.214341	-2.38515	0.844339	-0.051063	0.377847	1.829825	-0.16915	2.845576	4.018875	-6.687904	-2.232982	-3.412368	-2.943314	-2.985734	1.551215	1.13361	0.454167	-2.928591	2.399636
AHR	2.411224	-4.461962	2.932685	-3.482673	1.622149	1.970574	3.783328	2.018564	-4.157278	-0.454352	-1.366679	-3.78376	5.927586	-5.871337	-0.456632	-2.194847	0.950239	2.59438	-3.147009	-1.296257	-2.101473	-1.057691	-3.396326	-0.318465	2.09739	3.791236	-0.411619	-0.693047	6.159904	-0.725063	-2.709075	-6.280574	5.695655	-0.107078	0.374162	2.390151	1.550533	0.306812	2.439176	0.973247	3.496161	-4.542483	1.584941	-0.167026	-1.091618	0.266757	0.242896	-1.986338	1.453353	-3.237589
AR	0.452929	2.932288	2.580745	0.576073	1.568796	-3.090774	-2.057883	-5.726421	-5.013427	1.913956	-1.461077	-3.587879	2.859279	-1.818804	1.97636	-2.520916	-0.414184	1.784987	-0.699064	-0.916257	-3.519425	-3.511018	1.334033	5.944954	1.962158	-1.768182	-5.983504	-2.208776	3.952112	5.728116	2.871558	0.465289	2.330231	1.974018	2.315569	-2.517175	0.575005	4.429728	-1.629235	-1.051155	-3.264008	0.828671	0.13971	-0.038387	1.70563	5.832881	-0.07564	-3.998545	-0.008504	-0.974825
RUNX1	0.355641	-0.011333	3.167627	-2.292	0.309439	1.242176	-0.44712	0.028113	-3.598405	1.442208	-0.525139	-1.176417	1.346262	-3.382249	-4.952331	7.042978	2.813632	-3.68496	-2.075918	-2.019329	-1.426193	1.421263	1.469188	-4.613198	5.664789	1.073788	-3.062706	4.337922	0.781132	-4.36756	5.055695	-1.56844	1.048772	-1.370211	-3.874465	-0.133223	-4.918501	2.262008	-2.515691	2.463531	0.352784	2.091205	-1.578376	5.417486	1.012646	-2.214839	-2.154928	2.582198	-0.17687	1.551844
